mac_cliente,mac_ap,banda,rssi,time_step
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,209
8.212.12.130.83.142,44.208.45.125.172.128,0,-86,209
148.233.121.198.198.71,44.208.45.127.103.160,0,-87,209
176.197.89.188.18.183,44.208.45.127.67.64,0,-90,210
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,210
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,210
148.233.121.198.198.71,44.208.45.127.103.160,0,-93,210
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,210
240.3.140.45.251.130,44.208.45.127.67.64,0,-38,210
172.253.206.125.31.69,44.208.45.106.167.16,1,-67,210
8.212.12.130.83.142,44.208.45.125.172.128,0,-83,210
148.233.121.198.198.71,44.208.45.127.103.160,0,-92,211
172.253.206.125.31.69,44.208.45.106.167.16,1,-68,211
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,211
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,211
240.3.140.45.251.130,44.208.45.127.67.64,0,-38,211
176.197.89.188.18.183,44.208.45.127.67.64,0,-91,211
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,211
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,212
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,212
240.3.140.45.251.130,44.208.45.127.67.64,0,-38,212
148.233.121.198.198.71,44.208.45.127.103.160,0,-49,212
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,212
176.197.89.188.18.183,44.208.45.127.67.64,0,-92,212
172.253.206.125.31.69,44.208.45.106.167.16,1,-72,212
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,213
240.3.140.45.251.130,44.208.45.127.67.64,0,-39,213
216.252.147.127.63.210,44.208.45.125.172.128,1,-67,213
172.253.206.125.31.69,44.208.45.106.167.16,1,-71,213
176.197.89.188.18.183,44.208.45.127.67.64,0,-92,213
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,213
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,214
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,214
216.252.147.127.63.210,44.208.45.125.172.128,1,-66,214
240.3.140.45.251.130,44.208.45.127.67.64,0,-39,214
176.197.89.188.18.183,44.208.45.127.67.64,0,-91,214
172.253.206.125.31.69,44.208.45.106.167.16,1,-69,214
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,215
176.197.89.188.18.183,44.208.45.127.67.64,0,-91,215
216.252.147.127.63.210,44.208.45.125.172.128,1,-66,215
240.3.140.45.251.130,44.208.45.127.67.64,0,-40,215
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,215
172.253.206.125.31.69,44.208.45.106.167.16,1,-69,215
24.33.149.227.215.219,44.208.45.127.67.64,0,-96,216
216.252.147.127.63.210,44.208.45.125.172.128,1,-68,216
176.197.89.188.18.183,44.208.45.127.67.64,0,-90,216
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,216
172.253.206.125.31.69,44.208.45.106.167.16,1,-67,216
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,216
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,217
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,217
172.253.206.125.31.69,44.208.45.106.167.16,1,-66,217
216.252.147.127.63.210,44.208.45.125.172.128,1,-69,217
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,217
24.33.149.227.215.219,44.208.45.127.67.64,0,-93,217
216.252.147.127.63.210,44.208.45.125.172.128,1,-70,218
172.253.206.125.31.69,44.208.45.106.167.16,1,-68,218
24.33.149.227.215.219,44.208.45.127.67.64,0,-92,218
176.197.89.188.18.183,44.208.45.127.67.64,0,-89,218
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,218
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,218
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,219
216.252.147.127.63.210,44.208.45.125.172.128,1,-71,219
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,219
176.197.89.188.18.183,44.208.45.127.67.64,0,-90,219
172.253.206.125.31.69,44.208.45.106.167.16,1,-67,219
24.33.149.227.215.219,44.208.45.127.67.64,0,-92,219
216.252.147.127.63.210,44.208.45.125.172.128,1,-70,220
24.33.149.227.215.219,44.208.45.127.67.64,0,-93,220
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,220
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,220
172.253.206.125.31.69,44.208.45.106.167.16,1,-68,220
176.197.89.188.18.183,44.208.45.127.67.64,0,-91,220
176.197.89.188.18.183,44.208.45.127.67.64,0,-92,221
164.186.219.182.232.26,44.208.45.125.172.128,1,-86,221
216.252.147.127.63.210,44.208.45.125.172.128,1,-69,221
120.228.0.57.52.255,44.208.45.127.103.160,0,-92,221
24.33.149.227.215.219,44.208.45.127.67.64,0,-93,221
8.212.12.130.83.142,44.208.45.127.103.160,0,-92,221
172.253.206.125.31.69,44.208.45.106.167.16,1,-71,221
176.197.89.188.18.183,44.208.45.127.67.64,0,-92,222
