mac_cliente,mac_ap,banda,antena,rssi,date,time
172.253.206.125.31.69,44.208.45.106.167.16,1,1,-72,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,0,-36,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.125.172.128,0,1,-44,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,0,-52,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.125.172.128,1,1,-54,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,0,-94,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.127.67.64,0,1,-86,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,0,-76,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.127.103.160,0,1,-79,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.127.103.160,1,0,-88,2018-04-30,11:05
172.253.206.125.31.69,44.208.45.127.103.160,1,1,-89,2018-04-30,11:05
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-99,2018-04-30,11:05
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-99,2018-04-30,11:05
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-33,2018-04-30,11:05
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-38,2018-04-30,11:05
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-59,2018-04-30,11:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-60,2018-04-30,11:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-75,2018-04-30,11:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-81,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.106.167.16,1,0,-49,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.106.167.16,1,1,-43,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.125.172.128,0,0,-75,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.125.172.128,0,1,-58,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.125.172.128,1,0,-72,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.125.172.128,1,1,-67,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.127.103.160,0,0,-77,2018-04-30,11:05
216.252.147.127.63.210,44.208.45.127.103.160,0,1,-83,2018-04-30,11:05
