mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-99,2018-09-12,11:05,35,13
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-95,2018-09-12,11:05,35,13
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-76,2018-09-12,11:05,35,13
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-75,2018-09-12,11:05,35,13
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-98,2018-09-13,15:05,35,14
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-96,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-99,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-97,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-81,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-86,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-68,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-67,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-71,2018-09-13,15:05,35,14
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-72,2018-09-13,15:05,35,14
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-96,2018-09-13,19:05,35,15
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-96,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-58,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-51,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-66,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-68,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-93,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-94,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-74,2018-09-13,19:05,35,15
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-71,2018-09-13,19:05,35,15
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-92,2018-09-14,11:05,35,16
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-93,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-83,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-80,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-94,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-93,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-94,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-91,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-49,2018-09-14,11:05,35,16
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-46,2018-09-14,11:05,35,16
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-99,2018-09-24,11:05,35,17
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-96,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-86,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-88,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-77,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-59,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-97,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-97,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-89,2018-09-24,11:05,35,17
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-86,2018-09-24,11:05,35,17
176.197.89.188.18.183,0.66.104.213.240.0,0,0,-85,2018-09-24,15:05,35,18
176.197.89.188.18.183,0.66.104.213.240.0,0,1,-84,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.106.167.16,0,0,-42,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.106.167.16,0,1,-41,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-68,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-58,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-97,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-94,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-72,2018-09-24,15:05,35,18
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-78,2018-09-24,15:05,35,18
