mac_cliente,mac_ap,banda,antena,rssi,date,time
176.197.89.188.18.183,44.208.45.125.172.128,0,0,-97,2018-10-11,11:05
176.197.89.188.18.183,44.208.45.125.172.128,0,1,-92,2018-10-11,11:05
176.197.89.188.18.183,44.208.45.127.67.64,0,0,-99,2018-10-11,11:05
176.197.89.188.18.183,44.208.45.127.67.64,0,1,-97,2018-10-11,11:05
176.197.89.188.18.183,44.208.45.127.103.160,0,0,-63,2018-10-11,11:05
176.197.89.188.18.183,44.208.45.127.103.160,0,1,-61,2018-10-11,11:05
216.252.147.127.63.210,0.66.104.213.240.0,0,0,-95,2018-10-11,11:05
216.252.147.127.63.210,0.66.104.213.240.0,0,1,-96,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.106.167.16,0,0,-34,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.106.167.16,0,1,-36,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.106.167.16,1,0,-49,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.106.167.16,1,1,-47,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.125.172.128,0,0,-56,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.125.172.128,0,1,-54,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.125.172.128,1,0,-83,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.125.172.128,1,1,-77,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.127.67.64,0,0,-96,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.127.67.64,0,1,-97,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.127.103.160,0,0,-86,2018-10-11,11:05
216.252.147.127.63.210,44.208.45.127.103.160,0,1,-80,2018-10-11,11:05
8.212.12.130.83.142,0.66.104.213.240.0,0,0,-70,2018-10-11,15:05
8.212.12.130.83.142,0.66.104.213.240.0,0,1,-64,2018-10-11,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,0,-85,2018-10-11,15:05
8.212.12.130.83.142,0.66.104.213.240.0,1,1,-81,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,0,-96,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.106.167.16,0,1,-93,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,0,-83,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.125.172.128,0,1,-84,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,0,-49,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.127.67.64,0,1,-57,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,0,-52,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.127.67.64,1,1,-55,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,0,-95,2018-10-11,15:05
8.212.12.130.83.142,44.208.45.127.103.160,0,1,-95,2018-10-11,15:05
104.83.88.164.135.195,0.66.104.213.240.0,0,0,-55,2018-10-11,15:05
104.83.88.164.135.195,0.66.104.213.240.0,0,1,-47,2018-10-11,15:05
