mac_cliente,mac_ap,banda,antena,rssi,date,time,client_index,block_index,timestamp_real,timeframe
0.135.1.143.215.55,44.208.45.127.103.160,1,1,-101.0,2018-11-01,11:05:00,,,2018-11-01 11:05:00,26
160.211.122.242.205.173,0.66.104.213.240.0,0,0,-96.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,0.66.104.213.240.0,0,1,-99.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,0.66.104.213.240.0,1,0,-101.0,2018-11-19,11:05:00,,,2018-11-19 11:05:00,26
160.211.122.242.205.173,0.66.104.213.240.0,1,1,-101.0,2018-11-19,11:05:00,,,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.106.167.16,0,0,-54.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.106.167.16,0,1,-47.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.106.167.16,1,0,-57.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.106.167.16,1,1,-50.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.125.172.128,0,0,-58.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.125.172.128,0,1,-63.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.125.172.128,1,0,-71.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.125.172.128,1,1,-71.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.67.64,0,0,-96.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.67.64,0,1,-90.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.67.64,1,0,-101.0,2018-11-19,11:05:00,,,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.67.64,1,1,-101.0,2018-11-19,11:05:00,,,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.103.160,0,0,-85.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.103.160,0,1,-86.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.103.160,1,0,-91.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.205.173,44.208.45.127.103.160,1,1,-91.0,2018-11-19,11:05:00,26.0,2.0,2018-11-19 11:05:00,26
160.211.122.242.210.83,0.66.104.213.240.0,0,0,-97.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,0.66.104.213.240.0,0,1,-95.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,0.66.104.213.240.0,1,0,-101.0,2018-11-26,11:05:00,,,2018-11-26 11:05:00,26
160.211.122.242.210.83,0.66.104.213.240.0,1,1,-101.0,2018-11-26,11:05:00,,,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.106.167.16,0,0,-46.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.106.167.16,0,1,-41.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.106.167.16,1,0,-51.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.106.167.16,1,1,-50.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.125.172.128,0,0,-80.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.125.172.128,0,1,-53.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.125.172.128,1,0,-68.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.125.172.128,1,1,-71.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.67.64,0,0,-92.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.67.64,0,1,-85.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.67.64,1,0,-101.0,2018-11-26,11:05:00,,,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.67.64,1,1,-101.0,2018-11-26,11:05:00,,,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.103.160,0,0,-90.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.103.160,0,1,-80.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.103.160,1,0,-90.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
160.211.122.242.210.83,44.208.45.127.103.160,1,1,-91.0,2018-11-26,11:05:00,27.0,3.0,2018-11-26 11:05:00,26
